TransactionID,CustomerID,TransactionDate,ProductID,ProductName,Category,Price,Quantity,TotalAmount,Age,Gender
41,441,2023-06-11,148,suffer,Electronics,54.51,5,272.55,69,Female
42,258,2023-11-14,103,sell,Electronics,29.97,3,89.91,64,Female
43,648,2023-09-10,115,open,Home & Garden,96.8,3,290.4,64,Other
44,600,2023-09-29,143,wall,Electronics,108.95,2,217.9,23,Female
45,125,2023-03-17,109,human,Clothing,126.51,5,632.55,66,Other
46,201,2023-03-05,127,top,Electronics,114.04,5,570.2,45,Female
47,127,2023-03-22,105,because,Beauty,62.52,5,312.6,28,Female
48,434,2023-03-02,128,military,Clothing,119.09,3,357.27,70,Male
49,86,2023-08-09,129,ahead,Beauty,176.54,3,529.62,64,Female
50,744,2022-12-11,101,however,Home & Garden,15.87,4,63.48,65,Other
51,132,2023-08-19,118,general,Home & Garden,36.31,3,108.93,45,Male
52,182,2023-06-16,118,section,Home & Garden,103.43,4,413.72,26,Female
53,483,2023-05-11,131,reflect,Clothing,153.25,2,306.5,45,Female
54,563,2023-06-11,128,upon,Clothing,183.91,3,551.73,61,Female
55,279,2023-04-20,125,field,Beauty,94.15,3,282.45,66,Other
56,488,2023-02-03,104,each,Beauty,95.72,4,382.88,19,Female
57,73,2023-05-10,124,at,Clothing,169.53,1,169.53,59,Male
58,537,2023-06-26,111,she,Home & Garden,26.27,2,52.54,61,Female
59,613,2023-09-22,121,coach,Beauty,44.38,3,133.14,52,Female
60,321,2023-08-26,130,sister,Beauty,115.79,2,231.58,39,Male
61,111,2023-01-01,149,high,Electronics,57.03,3,171.09,42,Other
62,139,2022-12-30,112,with,Clothing,43.99,2,87.98,59,Female
63,849,2023-05-08,119,occur,Clothing,40.35,4,161.4,67,Other
64,414,2023-10-10,111,risk,Clothing,39.74,2,79.48,33,Male
65,663,2023-05-04,103,ground,Home & Garden,26.68,2,53.36,35,Female
66,182,2023-05-22,105,Mrs,Home & Garden,182.49,3,547.47,58,Other
67,183,2023-10-04,109,ahead,Clothing,37.66,3,112.98,39,Female
68,377,2022-12-06,109,increase,Home & Garden,108.0,3,324.0,44,Male
69,443,2023-04-25,117,history,Clothing,175.17,4,700.68,36,Male
70,569,2023-01-16,148,note,Electronics,153.07,1,153.07,47,Male
71,139,2023-04-30,107,its,Beauty,60.52,1,60.52,69,Female
72,842,2023-05-13,110,season,Electronics,86.26,5,431.3,22,Female
73,948,2023-02-05,106,seven,Clothing,133.05,2,266.1,31,Male
74,477,2023-05-27,101,voice,Home & Garden,34.45,2,68.9,34,Male
75,910,2023-09-06,128,career,Clothing,122.09,5,610.45,57,Female
76,734,2023-04-23,119,project,Clothing,33.1,1,33.1,52,Female
77,252,2023-05-27,106,house,Clothing,75.16,5,375.8,29,Other
78,127,2023-11-16,125,high,Beauty,162.77,4,651.08,42,Other
79,198,2023-08-08,112,build,Clothing,32.3,3,96.9,30,Other
80,359,2023-08-31,101,wall,Electronics,58.23,5,291.15,64,Female
81,43,2023-03-06,119,serve,Electronics,190.22,5,951.1,59,Other
82,593,2023-09-20,103,kind,Clothing,63.92,4,255.68,55,Other
83,353,2023-09-28,125,establish,Clothing,113.64,5,568.2,44,Female
84,933,2023-07-22,133,commercial,Clothing,61.34,5,306.7,43,Other
85,212,2023-06-23,147,everything,Electronics,164.53,1,164.53,45,Other
86,146,2023-04-13,147,discussion,Clothing,180.94,5,904.7,50,Female
87,9,2023-11-08,147,seek,Home & Garden,21.72,2,43.44,62,Female
88,27,2023-09-04,115,way,Home & Garden,68.43,1,68.43,20,Male
89,998,2023-08-09,142,when,Home & Garden,16.66,1,16.66,44,Other
90,83,2023-10-18,116,project,Beauty,191.38,4,765.52,60,Female
91,981,2023-06-11,102,dark,Home & Garden,159.85,3,479.55,58,Other
92,576,2023-06-03,102,shoulder,Clothing,94.71,4,378.84,69,Other
93,938,2023-02-05,141,focus,Electronics,42.18,2,84.36,39,Male
94,353,2023-05-02,150,unit,Home & Garden,85.14,4,340.56,37,Female
95,881,2023-03-20,115,like,Clothing,73.2,2,146.4,68,Male
96,119,2023-09-10,141,could,Home & Garden,60.94,5,304.7,38,Other
97,190,2023-03-27,111,bank,Electronics,192.53,1,192.53,26,Other
98,105,2023-09-27,138,response,Beauty,26.04,4,104.16,50,Female
99,832,2022-12-11,115,law,Home & Garden,176.17,4,704.68,42,Other
100,379,2023-01-01,125,within,Home & Garden,80.33,2,160.66,26,Other
101,678,2023-07-22,116,citizen,Electronics,42.83,4,171.32,32,Female
102,936,2023-09-02,113,network,Electronics,86.57,1,86.57,36,Female
103,149,2023-10-06,110,appear,Electronics,56.39,3,169.17,40,Female
104,59,2023-05-10,129,quickly,Electronics,70.2,1,70.2,29,Other
105,367,2022-12-05,108,be,Electronics,124.15,2,248.3,32,Other
106,664,2023-03-01,135,follow,Electronics,59.86,5,299.3,51,Other
107,237,2023-06-19,109,both,Beauty,58.77,3,176.31,20,Other
108,422,2023-08-27,114,official,Electronics,113.69,5,568.45,43,Male
109,596,2023-07-03,127,require,Beauty,180.61,1,180.61,61,Female
110,38,2023-02-28,149,perform,Clothing,18.41,2,36.82,23,Female
111,604,2023-05-02,118,full,Home & Garden,178.71,2,357.42,27,Other
112,89,2023-03-02,148,until,Clothing,89.92,3,269.76,59,Male
113,84,2023-06-15,136,even,Home & Garden,60.21,2,120.42,70,Male
114,990,2022-12-25,122,power,Beauty,16.58,2,33.16,51,Male
115,994,2023-11-21,143,adult,Clothing,180.0,5,900.0,56,Female
116,377,2023-01-12,120,also,Clothing,137.56,5,687.8,50,Other
117,819,2023-01-17,128,require,Beauty,98.88,2,197.76,44,Other
118,986,2023-11-30,120,important,Clothing,74.85,2,149.7,43,Male
119,44,2023-02-14,129,summer,Beauty,176.63,5,883.15,20,Other
120,307,2023-02-07,113,real,Electronics,67.74,2,135.48,56,Male
121,892,2023-04-10,142,rest,Electronics,96.8,5,484.0,53,Other
122,932,2023-10-27,146,left,Electronics,156.87,2,313.74,61,Other
123,361,2023-09-19,103,such,Electronics,164.28,5,821.4,60,Male
124,918,2023-07-26,118,appear,Clothing,64.69,4,258.76,65,Male
125,716,2023-10-05,125,like,Home & Garden,81.48,2,162.96,62,Female
126,708,2023-02-23,150,have,Clothing,126.03,5,630.15,56,Other
127,487,2023-07-01,127,toward,Electronics,128.55,3,385.65,29,Female
128,962,2023-11-12,118,government,Clothing,95.37,3,286.11,41,Other
129,610,2023-06-07,121,find,Electronics,15.4,2,30.8,51,Female
130,238,2023-11-16,125,light,Electronics,165.55,4,662.2,66,Other
131,288,2023-10-02,145,or,Electronics,179.94,4,719.76,25,Female
132,754,2023-02-20,106,nature,Home & Garden,17.97,4,71.88,30,Other
133,885,2023-01-01,107,guy,Clothing,17.38,5,86.9,51,Other
134,389,2023-04-18,142,campaign,Electronics,40.84,1,40.84,46,Male
135,838,2023-04-19,139,rate,Electronics,177.5,2,355.0,59,Other
136,345,2023-07-30,122,something,Electronics,67.14,5,335.7,66,Other
137,150,2023-04-09,126,identify,Electronics,30.0,1,30.0,60,Female
138,351,2023-09-26,108,discover,Home & Garden,138.14,2,276.28,24,Other
139,327,2023-10-10,121,computer,Home & Garden,127.89,1,127.89,30,Female
140,199,2023-10-26,101,weight,Electronics,36.35,1,36.35,22,Female
141,568,2022-12-25,146,yard,Electronics,170.99,4,683.96,67,Female
142,287,2023-10-28,106,cost,Home & Garden,131.37,3,394.11,64,Other
143,702,2023-01-16,136,worry,Electronics,127.8,3,383.4,60,Female
144,515,2023-04-18,150,like,Electronics,175.86,5,879.3,33,Female
145,751,2023-06-27,115,voice,Clothing,192.68,4,770.72,48,Other
146,860,2023-11-21,149,treat,Home & Garden,124.73,4,498.92,55,Female
147,138,2023-03-18,142,west,Beauty,17.35,1,17.35,22,Female
148,840,2023-08-07,112,those,Electronics,70.35,5,351.75,22,Male
149,950,2023-04-22,138,from,Home & Garden,92.6,1,92.6,64,Female
150,40,2023-07-31,105,bed,Beauty,97.65,5,488.25,59,Other
151,897,2023-06-11,106,deep,Clothing,40.49,1,40.49,56,Male
152,378,2023-04-19,121,exactly,Electronics,179.16,4,716.64,60,Female
153,720,2023-02-16,110,property,Clothing,74.73,5,373.65,35,Female
154,690,2023-02-13,143,south,Electronics,131.48,4,525.92,67,Male
155,833,2023-06-10,146,service,Electronics,198.93,2,397.86,68,Male
156,956,2023-04-09,124,read,Home & Garden,180.49,4,721.96,42,Other
157,898,2023-03-31,118,base,Beauty,95.11,1,95.11,33,Male
158,71,2022-12-07,120,relate,Beauty,115.48,1,115.48,51,Female
159,672,2023-02-26,145,blood,Electronics,192.29,1,192.29,43,Other
160,207,2023-11-27,111,music,Electronics,13.78,3,41.34,19,Other
161,577,2023-04-15,146,represent,Beauty,66.8,2,133.6,26,Male
162,184,2023-04-05,120,join,Home & Garden,19.48,3,58.44,62,Other
163,572,2023-02-03,126,especially,Home & Garden,190.69,5,953.45,34,Male
164,651,2023-05-02,131,follow,Beauty,126.97,4,507.88,35,Female
165,132,2023-08-28,101,short,Home & Garden,174.09,1,174.09,30,Other
166,567,2022-12-10,129,five,Home & Garden,110.61,2,221.22,38,Other
167,536,2023-04-09,137,memory,Electronics,152.52,1,152.52,47,Other
168,513,2023-10-07,129,station,Clothing,24.96,2,49.92,67,Female
169,599,2023-07-30,130,name,Beauty,117.7,1,117.7,58,Male
170,612,2023-11-23,109,soon,Clothing,181.41,5,907.05,23,Other
171,527,2023-11-30,105,possible,Electronics,111.18,2,222.36,41,Male
172,520,2023-07-03,134,then,Clothing,78.79,2,157.58,60,Other
173,61,2023-09-20,130,three,Home & Garden,179.89,2,359.78,53,Male
174,325,2023-05-09,122,recognize,Home & Garden,100.84,2,201.68,53,Female
175,782,2023-04-18,119,provide,Clothing,63.16,4,252.64,32,Male
176,590,2023-11-20,128,yeah,Beauty,41.04,3,123.12,65,Female
177,68,2023-04-29,114,baby,Beauty,143.02,1,143.02,68,Male
178,846,2023-10-06,136,door,Home & Garden,165.7,4,662.8,64,Other
179,846,2023-08-10,109,analysis,Beauty,71.94,3,215.82,21,Other
180,673,2023-04-28,109,produce,Clothing,75.91,1,75.91,53,Female
181,826,2023-02-26,118,great,Clothing,99.55,3,298.65,39,Male
182,664,2023-01-12,136,activity,Electronics,152.77,1,152.77,70,Female
183,528,2023-09-23,103,each,Electronics,15.02,1,15.02,57,Other
184,80,2023-04-17,118,apply,Beauty,187.25,5,936.25,20,Female
185,616,2023-11-09,134,city,Clothing,28.0,2,56.0,29,Male
186,353,2022-12-29,102,organization,Electronics,186.88,4,747.52,33,Other
187,493,2023-05-25,110,several,Beauty,174.22,1,174.22,70,Other
188,913,2022-12-30,116,necessary,Beauty,161.92,3,485.76,21,Other
189,967,2023-07-20,102,ten,Beauty,116.42,5,582.1,46,Female
190,632,2023-04-11,101,art,Electronics,179.36,3,538.08,53,Female
191,4,2023-10-14,144,executive,Clothing,98.02,3,294.06,53,Male
192,766,2023-02-16,141,worker,Clothing,192.05,4,768.2,62,Other
193,228,2023-11-06,107,some,Electronics,39.37,3,118.11,30,Other
194,764,2023-02-06,110,behind,Home & Garden,59.34,2,118.68,62,Male
195,353,2023-11-11,112,quickly,Home & Garden,179.07,5,895.35,36,Female
196,795,2023-07-15,125,wrong,Beauty,10.47,3,31.41,67,Male
197,266,2023-09-23,150,investment,Electronics,58.21,2,116.42,65,Other
198,754,2023-03-13,150,old,Clothing,138.76,5,693.8,25,Other
199,709,2023-07-11,150,job,Beauty,81.08,1,81.08,67,Male
200,381,2023-11-25,144,PM,Home & Garden,198.29,1,198.29,38,Other
201,876,2023-02-01,141,drop,Clothing,47.18,4,188.72,23,Other
202,470,2022-12-21,108,sound,Beauty,30.46,1,30.46,70,Female
203,134,2023-01-14,113,sing,Home & Garden,34.44,3,103.32,52,Male
204,204,2023-06-27,132,peace,Beauty,13.89,3,41.67,56,Male
205,888,2023-07-14,150,near,Clothing,65.45,5,327.25,57,Male
206,92,2023-02-08,103,wide,Home & Garden,179.62,5,898.1,58,Female
207,760,2022-12-31,109,while,Clothing,49.17,1,49.17,62,Male
208,680,2023-01-24,102,dark,Clothing,195.77,2,391.54,25,Other
209,946,2023-09-10,131,describe,Beauty,136.74,1,136.74,35,Male
210,835,2023-04-03,150,middle,Home & Garden,122.05,4,488.2,68,Female
211,852,2023-10-18,123,surface,Home & Garden,77.97,2,155.94,68,Female
212,758,2023-01-18,137,painting,Electronics,173.43,4,693.72,37,Male
213,985,2023-01-04,118,race,Clothing,43.98,1,43.98,55,Other
214,165,2023-10-03,133,option,Beauty,59.51,3,178.53,70,Other
215,632,2023-03-07,103,art,Electronics,186.59,4,746.36,18,Female
216,955,2023-08-07,117,rise,Beauty,34.72,5,173.6,62,Male
217,265,2023-09-18,139,space,Clothing,184.31,1,184.31,48,Female
218,438,2023-03-07,140,great,Home & Garden,51.0,1,51.0,20,Female
219,907,2023-02-15,103,agreement,Clothing,131.4,2,262.8,69,Other
220,356,2023-10-08,142,tell,Clothing,48.32,3,144.96,68,Other
221,434,2023-01-03,120,relationship,Home & Garden,47.14,3,141.42,69,Female
222,378,2023-08-15,122,society,Beauty,198.48,5,992.4,54,Other
223,150,2023-04-09,111,guy,Clothing,92.9,3,278.7,49,Other
224,280,2023-11-05,149,foreign,Home & Garden,143.89,4,575.56,58,Other
225,324,2023-11-19,133,former,Beauty,167.15,4,668.6,63,Other
226,478,2023-05-10,146,late,Beauty,187.14,3,561.42,57,Female
227,687,2023-07-12,143,assume,Electronics,18.46,3,55.38,26,Female
228,692,2023-06-27,104,all,Electronics,120.01,2,240.02,45,Male
229,480,2023-09-01,134,kind,Home & Garden,183.39,5,916.95,28,Male
230,293,2023-05-11,149,certainly,Electronics,83.51,4,334.04,66,Male
231,917,2023-10-09,102,name,Clothing,142.68,3,428.04,32,Other
232,152,2023-04-16,145,without,Beauty,190.77,3,572.31,37,Male
233,533,2023-07-27,140,if,Electronics,110.59,2,221.18,18,Other
234,986,2023-02-04,137,enjoy,Clothing,12.02,1,12.02,47,Female
235,180,2023-11-04,106,so,Clothing,58.28,2,116.56,52,Male
236,401,2023-01-21,117,family,Beauty,58.65,3,175.95,32,Male
237,127,2023-04-23,135,human,Clothing,193.38,2,386.76,42,Female
238,723,2023-04-12,147,right,Beauty,60.94,5,304.7,59,Female
239,976,2023-10-06,134,plant,Beauty,101.41,4,405.64,61,Other
240,929,2023-11-16,123,that,Electronics,70.16,4,280.64,61,Male
241,557,2023-11-23,149,level,Clothing,169.99,5,849.95,40,Male
242,207,2022-12-15,138,key,Beauty,55.71,3,167.13,69,Female
243,864,2023-02-14,105,tree,Home & Garden,31.04,3,93.12,65,Female
244,631,2023-05-17,119,see,Home & Garden,175.8,4,703.2,44,Female
245,79,2023-08-26,129,attorney,Clothing,151.31,5,756.55,51,Female
246,749,2023-09-13,131,able,Beauty,65.85,5,329.25,61,Male
247,931,2023-04-29,111,either,Clothing,184.07,2,368.14,43,Female
248,477,2023-11-29,148,perform,Beauty,63.43,3,190.29,38,Female
249,291,2023-09-08,129,support,Clothing,162.65,5,813.25,63,Other
250,242,2023-10-31,122,defense,Electronics,34.84,3,104.52,60,Other
251,659,2023-10-14,139,left,Home & Garden,81.29,2,162.58,22,Male
252,825,2023-08-24,147,compare,Electronics,106.23,5,531.15,64,Male
253,253,2023-09-21,132,money,Clothing,85.5,2,171.0,57,Other
254,980,2023-01-25,134,coach,Home & Garden,128.9,2,257.8,20,Other
255,279,2023-03-11,150,movement,Clothing,73.08,4,292.32,27,Male
256,300,2023-06-28,140,film,Clothing,124.55,2,249.1,60,Other
257,244,2023-04-01,121,form,Home & Garden,65.26,4,261.04,18,Female
258,537,2023-01-16,139,sense,Clothing,22.9,3,68.7,42,Male
259,740,2023-04-03,112,future,Beauty,62.1,4,248.4,66,Other
260,75,2023-04-06,107,child,Beauty,94.05,5,470.25,25,Female
261,262,2023-11-16,122,state,Electronics,165.85,4,663.4,42,Other
262,942,2023-10-11,101,interesting,Electronics,68.87,4,275.48,26,Male
263,72,2023-06-20,150,young,Clothing,126.44,3,379.32,55,Other
264,700,2022-12-21,134,system,Clothing,19.75,4,79.0,70,Male
265,104,2023-03-27,110,throughout,Electronics,78.49,2,156.98,49,Male
266,58,2023-05-13,130,plant,Clothing,104.33,4,417.32,23,Female
267,33,2023-10-28,128,career,Clothing,128.4,2,256.8,18,Other
268,613,2023-07-29,114,service,Home & Garden,44.7,4,178.8,19,Female
269,269,2023-04-24,110,box,Electronics,95.59,5,477.95,60,Female
270,68,2023-06-27,110,why,Electronics,19.33,5,96.65,55,Female
271,66,2023-03-21,108,can,Electronics,69.39,3,208.17,46,Other
272,449,2023-03-21,109,feel,Electronics,199.8,1,199.8,29,Other
273,565,2023-11-02,132,husband,Clothing,127.28,4,509.12,69,Female
274,670,2023-02-02,143,arm,Home & Garden,122.03,5,610.15,46,Other
275,46,2023-09-13,119,break,Electronics,160.36,2,320.72,45,Other
276,699,2023-08-30,103,thus,Electronics,76.57,4,306.28,30,Female
277,811,2023-08-04,147,leader,Home & Garden,62.12,4,248.48,20,Other
278,792,2023-11-27,143,responsibility,Home & Garden,66.7,3,200.1,70,Male
279,69,2023-02-25,149,card,Home & Garden,165.85,4,663.4,24,Other
280,43,2023-10-17,101,positive,Home & Garden,52.54,3,157.62,18,Other
281,191,2023-08-10,120,hotel,Home & Garden,163.39,5,816.95,29,Other
282,901,2023-02-25,146,company,Electronics,114.83,3,344.49,60,Female
283,415,2023-08-19,111,nothing,Home & Garden,86.38,2,172.76,25,Female
284,418,2022-12-13,125,heart,Clothing,137.65,2,275.3,55,Male
285,49,2023-08-06,120,rule,Electronics,167.03,3,501.09,42,Male
286,13,2023-06-18,150,left,Home & Garden,122.39,5,611.95,21,Other
287,605,2023-01-25,122,around,Electronics,92.74,2,185.48,30,Male
288,443,2023-11-07,139,production,Beauty,38.75,4,155.0,24,Other
289,636,2023-02-28,105,movement,Electronics,13.64,1,13.64,34,Male
290,763,2023-04-06,101,produce,Electronics,37.93,4,151.72,41,Female
291,276,2022-12-10,102,report,Clothing,13.26,2,26.52,58,Female
292,305,2023-04-14,118,agent,Home & Garden,165.99,1,165.99,67,Male
293,134,2022-12-18,101,mind,Home & Garden,26.24,2,52.48,54,Male
294,801,2023-02-07,121,study,Beauty,161.81,4,647.24,47,Other
295,617,2023-04-15,139,spring,Electronics,30.73,1,30.73,47,Other
296,133,2023-10-15,123,meet,Electronics,61.56,4,246.24,55,Other
297,643,2023-11-07,146,music,Clothing,147.65,2,295.3,31,Male
298,862,2023-07-27,146,Mrs,Clothing,17.26,4,69.04,36,Female
299,824,2023-03-10,134,scene,Clothing,21.62,4,86.48,51,Other
300,296,2023-05-09,101,onto,Electronics,41.5,1,41.5,60,Other
301,732,2022-12-13,138,action,Clothing,29.61,3,88.83,32,Other
302,35,2023-06-01,111,cost,Beauty,161.11,3,483.33,64,Female
303,737,2023-06-04,123,kid,Clothing,89.55,1,89.55,70,Other
304,140,2023-11-21,136,look,Electronics,191.96,4,767.84,38,Male
305,212,2022-12-22,119,leader,Beauty,183.84,2,367.68,35,Other
306,417,2023-12-04,136,policy,Clothing,68.55,2,137.1,42,Male
307,681,2023-06-14,146,many,Electronics,164.83,2,329.66,59,Male
308,761,2023-01-04,125,different,Beauty,72.81,2,145.62,66,Male
309,423,2023-03-02,112,cut,Beauty,44.59,3,133.77,43,Other
310,889,2023-03-22,126,sit,Clothing,84.01,5,420.05,35,Male
311,503,2022-12-08,106,she,Electronics,46.66,1,46.66,23,Female
312,347,2023-06-03,107,have,Home & Garden,26.93,1,26.93,18,Male
313,222,2023-09-06,142,sea,Electronics,40.25,4,161.0,26,Other
314,575,2023-02-09,128,computer,Home & Garden,141.21,2,282.42,33,Male
315,633,2023-10-11,105,how,Clothing,185.94,5,929.7,58,Female
316,561,2023-07-31,142,radio,Electronics,91.52,2,183.04,46,Female
317,616,2023-06-06,132,drop,Beauty,93.65,2,187.3,35,Male
318,692,2023-05-21,118,character,Beauty,172.89,5,864.45,65,Female
319,656,2023-07-24,116,democratic,Home & Garden,96.75,3,290.25,40,Male
320,79,2023-01-06,139,reduce,Electronics,115.07,1,115.07,35,Male
321,732,2023-04-25,125,black,Electronics,76.6,2,153.2,49,Female
322,3,2023-08-27,145,charge,Beauty,148.18,5,740.9,57,Other
323,614,2022-12-13,112,miss,Beauty,124.87,2,249.74,24,Other
324,68,2023-09-27,116,section,Clothing,13.71,2,27.42,55,Female
325,628,2023-02-16,148,game,Clothing,138.32,2,276.64,69,Female
326,628,2023-10-25,103,wind,Electronics,29.31,2,58.62,69,Female
327,534,2023-02-01,106,range,Electronics,189.23,4,756.92,62,Female
328,133,2023-07-21,115,why,Electronics,171.22,1,171.22,28,Male
329,817,2023-01-31,102,leg,Home & Garden,168.94,2,337.88,50,Female
330,49,2023-01-20,127,need,Home & Garden,88.0,3,264.0,19,Male
331,642,2023-10-04,140,end,Electronics,56.01,2,112.02,19,Female
332,90,2023-02-19,111,camera,Home & Garden,34.38,2,68.76,33,Other
333,245,2023-01-07,145,learn,Home & Garden,16.92,4,67.68,24,Female
334,262,2023-03-09,106,girl,Clothing,15.12,2,30.24,56,Female
335,937,2022-12-08,102,summer,Beauty,121.44,2,242.88,52,Female
336,500,2023-08-31,137,history,Home & Garden,195.97,2,391.94,33,Male
337,629,2023-01-16,124,tax,Clothing,20.48,1,20.48,32,Female
338,850,2023-01-17,119,though,Electronics,90.25,5,451.25,39,Female
339,727,2023-11-29,125,once,Electronics,158.79,4,635.16,28,Other
340,2,2023-09-14,119,whom,Clothing,131.95,4,527.8,36,Other
341,549,2023-07-19,147,than,Clothing,119.76,3,359.28,56,Other
342,794,2023-02-25,149,day,Electronics,106.9,4,427.6,54,Male
343,113,2023-06-03,113,window,Beauty,20.26,2,40.52,44,Female
344,688,2023-03-17,116,across,Beauty,169.4,4,677.6,55,Male
345,794,2023-09-08,121,prevent,Home & Garden,122.11,1,122.11,52,Male
346,52,2023-11-12,126,major,Electronics,38.05,3,114.15,27,Female
347,326,2023-05-02,124,hold,Clothing,141.21,2,282.42,28,Other
348,591,2023-10-13,119,use,Beauty,181.24,1,181.24,63,Male
349,413,2023-07-16,135,relate,Electronics,78.61,2,157.22,42,Male
350,780,2023-06-01,148,pull,Home & Garden,159.68,3,479.04,35,Female
351,528,2023-07-12,118,happy,Home & Garden,26.08,1,26.08,18,Other
352,217,2023-05-28,138,turn,Electronics,35.73,3,107.19,46,Female
353,252,2023-08-06,129,every,Clothing,65.12,2,130.24,34,Female
354,173,2023-12-04,107,hour,Electronics,90.92,4,363.68,22,Female
355,155,2023-08-22,114,special,Clothing,122.64,3,367.92,19,Other
356,710,2023-09-25,126,open,Clothing,64.05,2,128.1,67,Female
357,108,2023-01-03,120,participant,Home & Garden,64.91,4,259.64,23,Male
358,126,2023-11-21,110,event,Electronics,137.37,1,137.37,30,Other
359,151,2023-01-24,106,college,Clothing,91.56,5,457.8,37,Male
360,462,2023-04-13,117,everybody,Electronics,142.23,2,284.46,53,Female
361,604,2023-02-22,150,ready,Beauty,10.76,5,53.8,61,Other
362,443,2023-06-15,109,bit,Beauty,89.98,5,449.9,37,Female
363,306,2023-11-23,139,our,Electronics,48.81,3,146.43,19,Female
364,313,2023-02-08,132,knowledge,Electronics,19.86,4,79.44,19,Other
365,621,2023-01-25,111,against,Home & Garden,46.25,5,231.25,65,Other
366,307,2023-02-15,114,could,Beauty,31.12,3,93.36,68,Male
367,773,2023-03-23,131,away,Beauty,68.41,1,68.41,24,Other
368,3,2023-01-02,131,kind,Home & Garden,18.9,3,56.7,43,Male
369,852,2023-07-15,113,sure,Home & Garden,146.73,1,146.73,59,Other
370,972,2023-08-27,149,speak,Home & Garden,160.58,4,642.32,28,Male
371,893,2023-11-07,145,enjoy,Home & Garden,199.51,1,199.51,27,Male
372,115,2023-05-11,118,bill,Clothing,52.45,1,52.45,18,Female
373,23,2023-09-21,138,for,Home & Garden,37.91,1,37.91,38,Female
374,201,2022-12-27,119,society,Clothing,123.04,2,246.08,49,Female
375,61,2023-11-17,111,contain,Electronics,199.47,3,598.41,38,Other
376,321,2023-07-06,120,game,Electronics,19.41,2,38.82,57,Male
377,474,2023-08-06,126,sign,Clothing,91.45,1,91.45,62,Other
378,897,2023-10-29,149,reality,Beauty,98.19,2,196.38,36,Male
379,767,2023-11-26,123,campaign,Electronics,183.39,1,183.39,46,Male
380,628,2023-10-27,150,throw,Beauty,173.74,1,173.74,50,Other
381,739,2023-09-30,105,must,Home & Garden,160.29,2,320.58,30,Other
382,166,2023-10-28,146,writer,Beauty,111.6,1,111.6,34,Male
383,94,2023-04-26,101,middle,Clothing,48.66,3,145.98,40,Other
384,319,2023-10-24,104,physical,Home & Garden,88.29,4,353.16,54,Male
